id,title,vote_average,vote_count
862,Toy Story,7.7,5415
8844,Jumanji,6.9,2413
15602,Grumpier Old Men,6.5,92
31357,Waiting to Exhale,6.1,34
11862,Father of the Bride Part II,5.7,173
949,Heat,7.7,1886
11860,Sabrina,6.2,141
45325,Tom and Huck,5.4,45
9091,Sudden Death,5.5,174
710,GoldenEye,6.6,1194
9087,The American President,6.5,199
12110,Dracula: Dead and Loving It,5.7,210
21032,Balto,7.1,423
10858,Nixon,7.1,72
1408,Cutthroat Island,5.7,137
524,Casino,7.8,1343
4584,Sense and Sensibility,7.2,364
5,Four Rooms,6.5,539
9273,Ace Ventura: When Nature Calls,6.1,1128
11517,Money Train,5.4,224
8012,Get Shorty,6.4,305
1710,Copycat,6.5,199
9691,Assassins,6,394
12665,Powder,6.3,143
451,Leaving Las Vegas,7.1,365
16420,Othello,7,33
9263,Now and Then,6.6,91
17015,Persuasion,7.4,36
902,The City of Lost Children,7.6,308
37557,Shanghai Triad,6.5,17
9909,Dangerous Minds,6.4,249
63,Twelve Monkeys,7.4,2470
78802,Wings of Courage,6.8,4
9598,Babe,6,756
47018,Carrington,6.4,16
687,Dead Man Walking,7.3,350
139405,Across the Sea of Time,3.5,2
33689,It Takes Two,6.1,149
9603,Clueless,6.9,828
34615,"Cry, the Beloved Country",6.7,13
31174,Richard III,6.9,50
11443,Dead Presidents,6.6,80
35196,Restoration,6.3,30
9312,Mortal Kombat,5.4,452
577,To Die For,6.7,177
11861,How To Make An American Quilt,6.5,38
807,Se7en,8.1,5915
10530,Pocahontas,6.7,1509
8391,When Night Is Falling,5.9,10
629,The Usual Suspects,8.1,3334
117164,Guardian Angel,6.3,3
11448,Mighty Aphrodite,6.7,145
49133,Lamerica,7.7,11
26441,The Big Green,5.2,41
97406,Georgia,6.1,15
124057,Kids of the Round Table,3,1
9089,Home for the Holidays,6.3,39
11010,The Postman,7.6,181
99040,The Confessional,6.5,2
11359,The Indian in the Cupboard,5.9,136
17182,Eye for an Eye,5.8,65
2054,Mr. Holland's Opus,6.9,115
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192
19760,Two If by Sea,4.5,14
9536,Bio-Dome,4.4,110
11525,Lawnmower Man 2: Beyond Cyberspace,2.8,32
40628,Two Bits,5.4,11
4482,French Twist,6,43
10634,Friday,7,513
755,From Dusk Till Dawn,6.9,1644
11859,Fair Game,4.1,54
28387,Kicking and Screaming,7,36
48750,Les Miserables,6.6,8
20927,Bed of Roses,5.1,27
36929,Big Bully,3.9,16
9102,Screamers,6.1,154
124626,Nico Icon,7.3,3
27526,The Crossing Guard,6.1,74
9623,The Juror,5.5,91
46785,The White Balloon,7.5,20
400,Things to Do in Denver When You're Dead,6.7,87
880,Antonia's Line,7.2,26
146599,Once Upon a Time... When We Were Colored,4.5,2
188588,Last Summer in the Hamptons,0,0
8447,Angels and Insects,6.3,17
10534,White Squall,6.3,86
17414,Dunston Checks In,5.1,59
13997,Black Sheep,6,124
2086,Nick of Time,6.1,190
61548,The Journey of August King,6.7,3
9095,Mary Reilly,5.7,77
12158,Vampire in Brooklyn,4.5,113
9283,Beautiful Girls,6.6,103
9208,Broken Arrow,5.7,459
40154,A Midwinter's Tale,7.5,6
406,La Haine,7.9,695
45549,Shopping,5.6,13
63076,Heidi Fleiss: Hollywood Madam,6.8,4
11062,City Hall,6,67
13685,Bottle Rocket,6.8,285
47475,Mr. Wrong,3.3,16
2045,Unforgettable,5.3,22
9614,Happy Gilmore,6.5,767
688,The Bridges of Madison County,7.3,397
11907,Nobody Loves Me,5.1,5
10874,Muppet Treasure Island,6.5,93
89333,Catwalk,7,2
96357,Headless Body in Topless Bar,0,0
197,Braveheart,7.7,3404
103,Taxi Driver,8.1,2632
33542,Rumble in the Bronx,6.5,245
43566,Before and After,5.8,37
71754,Margaret's Museum,7.5,2
43612,Happiness Is in the Field,7,23
51352,Anne Frank Remembered,7.3,4
16934,The Young Poisoner's Handbook,6.9,19
10324,If Lucy Fell,5.4,11
78406,Steal Big Steal Little,5.1,7
55731,Race the Sun,5.2,21
32119,The Boys of St. Vincent,7,7
11066,Boomerang,5.4,139
11104,Chungking Express,7.9,249
37975,The Star Maker,6.8,29
2074,Flirting with Disaster,6.3,66
27793,The Neverending Story III: Escape from Fantasia,4.4,105
44284,The Silences of the Palace,4.3,3
290157,Jupiter's Wife,0,0
110972,Pie in the Sky,7,2
32622,Angela,5.6,9
73067,Frankie Starlight,5.4,4
11863,Jade,5.1,45
55475,Nueba Yol,5.5,1
124636,Sonic Outlaws,0,0
9101,Down Periscope,5.6,110
123360,From the Journals of Jean Seberg,6.5,2
5757,Man of the Year,3.8,2
39428,The Neon Bible,7.2,5
124639,Target,0,0
9302,Up Close & Personal,5.9,51
11000,The Birdcage,6.7,303
249882,Virgin Mary,7,2
16388,The Brothers McMullen,6.3,23
9737,Bad Boys,6.5,1729
30765,The Amazing Panda Adventure,5,31
10474,The Basketball Diaries,7.2,472
22279,An Awfully Big Adventure,6,11
30157,Amateur,6.5,21
568,Apollo 13,7.3,1637
11780,Rob Roy,6.5,151
34996,The Addiction,6.4,46
414,Batman Forever,5.2,1529
649,Belle de Jour,7.3,163
1873,Beyond Rangoon,6.4,21
5894,Blue in the Face,6.8,28
1775,Canadian Bacon,5.9,57
8839,Casper,6,1045
20649,Clockers,6.8,69
10329,Congo,5,214
8963,Crimson Tide,7,508
26564,Crumb,7.6,71
8068,Desperado,6.8,898
8512,Devil in a Blue Dress,6.3,88
1572,Die Hard: With a Vengeance,6.9,2094
13552,The Doom Generation,5.6,57
259209,Feast of July,0,0
6520,First Knight,5.9,319
9073,Free Willy 2 - The Adventure Home,5.5,130
10428,Hackers,6.2,406
17447,Jeffrey,6.5,19
9886,Johnny Mnemonic,5.5,380
9482,Judge Dredd,5.4,643
19326,Jury Duty,4,34
9344,Kids,6.8,280
9071,Living in Oblivion,7.2,64
8973,Lord of Illusions,5.9,87
15730,Love & Human Remains,7,7
47608,Mad Love,5.5,27
2293,Mallrats,6.8,400
9070,Mighty Morphin Power Rangers: The Movie,5.2,153
68274,Moonlight and Valentino,5.6,10
48787,Mute Witness,6.4,36
34574,Nadja,5.9,12
1642,The Net,5.6,359
11472,Nine Months,5.5,171
36196,Party Girl,5.8,14
11980,The Prophecy,6.4,139
58372,Reckless,10,1
32646,Safe,7.2,62
