Tweet,Sentimental,:),:-),:d,thanks,love,good,thank,see,happy,great,:(,:-(,miss,please,want,can't,time,sorry,one
He's really on his way guys :-) https://t.co/yyOUEKgCFM,Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@awadkum - Just chant Jai Italy 100/times fast. :)) @BJP4India @AmitShahOffice @narendramodi,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thank you Esai :-),Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@SR15BLTY sore litey :p,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"@dspdavey Gorgeous, Deborah! Good taste! :) You can use coupon code COLOURDEB for red, purple or blue here:  http://t.co/MXEKsnMvvX Thanks!!",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The most embarrassing moment when you shared your secrets with a wrong one :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
@choivernope why not? :( yes I'll stream~,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Dhis👉 @AhmedMarzooq blocked my twitter :( thank you for the good time 😢 I play 8ball,  FAKMAREY,",Negative,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"Of course :( :( .. I don't understand &gt;&gt;&gt;""@khalila_: Y'all gonna ignore @Calvin_Muca questions huh? Niqqa is desperate need of answers lol""",Negative,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"@CLOUD9CABELLO FOLLOWED ME THANKS, AND
@justinbieber PLEASE FOLLOWED ME TOO :(",Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Good morning! And happy Friday! :-) Thought I'd quickly say hello while my little pebble is engrossed in Bing... http://t.co/u73W4nOsjt,Positive,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
@KillaEarth ur bio. I moved from MCPE -&gt; Vainglory :) u with me?,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocolates and peanuts ...... :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
My KIK : oulive70748 #kik #kikmenow #photo #babe #loveofmylife #brasileirao #viernesderolenahot :( http://t.co/GmmwD4PrhU,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@lhiz001 ito ding latest full album.. 4th full album :) last full album nila is Wave @0129anne @d_lawbreaker,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@EHousein nope :) Emirates air line i http://t.co/xVLbWyCN19,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@guptashas @cquenx We were heartbroken too! :( @Uber_Delhi,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"hi! @sisoment to enter, purchase a specially-marked First Choice Custard pack &amp; enter via SMS through on-pack instructions :) good luck!",Positive,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
@AsianMeerkat @johncrossmirror far from it. Being LFC fan makes me expert in spotting mental weakness and lack consistency :-),Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUYS add my KIK - sprevelink633 #kik #hornykik #chat #porno #orgasm #free #webcamsex :( http://t.co/ZepUgc5yJ3,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@SnellingD @Uber Having the same problem! :(,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
no date yet :(  https://t.co/Tu9R2CfSyx,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@jonny_ives we saw this and thought you might need an upgrade as the girls are getting bigger :) http://t.co/AzDWGWAPBb,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wifi on steroids today! :D,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I don't think so :( #zayniscomingback,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
not everyone will stay with you through out your life my dear :-),Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Four hours vacant. :)
With HAUC lovessss",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"@seunjinbing @NGVMelbourne I can’t, thesis :(",Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"""I know you said this is Michael Jackson, but this is obviously a little boy"" - my little brother while listening to a Jackson 5 song :(",Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"@rich_bartram29 Oh, didn't know :) But yes, you can have an order delivered to your work address, once it's added to your address book ^AC",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some good advice for a Friday :) http://t.co/FJUd2N7gmc,Positive,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I WANNA MEET THEM :(((,Negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@latersbby honey &amp; brown sugar is only good for ur lips :/ but the amount of stuff I used on my face that I could've used on food instead :(,Negative,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"@Nebula2592 ahahah i consider it petite, i have a love hate relationship with my height :(",Negative,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"I just got the Five Night's at Freddy's 4 Demo and getting ready to record it, I'm super pumped for this as I'm a FNAF fanboy :D",Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#FollowFriday @CLARAROJASG @BF_P2C @MyBusiness_Plan for being top new followers in my community this week :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@spencerspellman thanks! ICeland was amazing! Crazy landscapes - hope you can get there soon! :),Positive,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
